Year,Country_Name,NOC,Athlete_Count,Sports_Participated_Count,score,pi,lambda1,prob_break_zero
2028,Guinea,GUI,25,5,-4.992900000000001,0.006740217829340701,5.333992395002528,0.9884675330401813
2028,Mali,MLI,24,5,-4.5863,0.010087694941410498,5.333992395002528,0.9851362067323297
2028,Angola,ANG,25,7,-4.111500000000001,0.01611909918938519,5.333992395002528,0.9791339026173533
2028,South Sudan,SSD,14,2,-1.8424000000000003,0.1367676959801592,5.333992395002528,0.8590674074513933
2028,Liberia,LBR,8,1,0.15649999999999975,0.5390453401590825,5.333992395002528,0.4587306600299267
2028,Rwanda,RWA,7,4,1.8851999999999998,0.8682072682536348,5.333992395002528,0.1311568622432886
2028,Gambia,GAM,7,4,1.8851999999999998,0.8682072682536348,5.333992395002528,0.1311568622432886
2028,Bolivia,BOL,4,2,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2028,British Virgin Islands,IVB,4,2,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2028,Saint Vincent and the Grenadines,VIN,4,2,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2028,Bosnia and Herzegovina,BIH,5,3,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2028,Antigua and Barbuda,ANT,5,3,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2028,Benin,BEN,5,3,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2028,Congo (Kinshasa),COD,6,4,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2028,Aruba,ARU,6,4,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2028,Madagascar,MAD,7,5,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2028,Papua New Guinea,PNG,7,5,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2028,Palestine,PLE,8,6,2.3599999999999994,0.9137258055040833,5.333992395002528,0.08585794142599754
2028,Tuvalu,TUV,2,1,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2028,Cambodia,CAM,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Malawi,MAW,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Federated States of Micronesia,FSM,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Equatorial Guinea,GEQ,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Seychelles,SEY,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Saint Kitts and Nevis,SKN,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Lesotho,LES,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Swaziland,SWZ,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Palau,PLW,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Brunei,BRU,3,2,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2028,Laos,LAO,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Central African Republic,CAF,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Cayman Islands,CAY,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Marshall Islands,MHL,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Timor Leste,TLS,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Oman,OMA,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Sierra Leone,SLE,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Congo (Brazzaville),CGO,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Comoros,COM,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Honduras,HON,4,3,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2028,Malta,MLT,5,4,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2028,Maldives,MDV,5,4,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2028,Bangladesh,BAN,5,4,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2028,Vanuatu,VAN,6,5,2.7325,0.9389173734549439,5.333992395002528,0.06078791697440571
2028,Guinea Bissau,GBS,6,5,2.7325,0.9389173734549439,5.333992395002528,0.06078791697440571
2028,Libya,LBA,6,5,2.7325,0.9389173734549439,5.333992395002528,0.06078791697440571
2028,Guam,GUM,7,6,2.7665999999999995,0.9408440377098902,5.333992395002528,0.05887054842967154
2028,Nepal,NEP,7,6,2.7665999999999995,0.9408440377098902,5.333992395002528,0.05887054842967154
2028,Nicaragua,NCA,7,6,2.7665999999999995,0.9408440377098902,5.333992395002528,0.05887054842967154
2028,El Salvador,ESA,8,7,2.8006999999999995,0.9427136390620782,5.333992395002528,0.057009967472364365
2028,Belize,BIZ,1,1,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2028,Somalia,SOM,1,1,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2028,Nauru,NRU,1,1,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2028,Liechtenstein,LIE,1,1,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2028,Myanmar,MYA,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,Solomon Islands,SOL,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,Andorra,AND,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,American Samoa,ASA,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,Cook Islands,COK,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,Mauritania,MTN,2,2,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2028,Kiribati,KIR,3,3,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
2028,Bhutan,BHU,3,3,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
2028,Sao Tome and Principe,STP,3,3,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
2028,Chad,CHA,3,3,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
2028,Yemen,YEM,4,4,3.1049999999999995,0.9570985196432062,5.333992395002528,0.04269449061893609
2028,Monaco,MON,6,6,3.1731999999999996,0.9598131961929572,5.333992395002528,0.03999291175678767
