Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals
1988,Formation,ASA,American Samoa,0,6,4,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ASA,American Samoa,0,3,2,3,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ASA,American Samoa,0,7,5,6,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ASA,American Samoa,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ASA,American Samoa,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ASA,American Samoa,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ASA,American Samoa,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ASA,American Samoa,0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ASA,American Samoa,0,6,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ASA,American Samoa,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,AND,Andorra,0,3,2,2,444.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,AND,Andorra,0,2,1,1,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,AND,Andorra,0,2,1,1,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,AND,Andorra,0,3,2,3,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,AND,Andorra,0,8,5,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,AND,Andorra,0,8,5,7,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,AND,Andorra,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,AND,Andorra,0,6,4,6,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,AND,Andorra,0,5,4,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,AND,Andorra,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,AND,Andorra,0,4,4,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,AND,Andorra,0,2,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,AND,Andorra,0,2,2,4,738.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,ANG,Angola,0,11,3,14,454.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ANG,Angola,0,24,4,27,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ANG,Angola,0,28,6,21,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ANG,Angola,0,28,5,8,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ANG,Angola,0,30,5,7,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ANG,Angola,0,30,5,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ANG,Angola,0,32,6,8,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ANG,Angola,0,33,6,10,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ANG,Angola,0,26,7,10,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ANG,Angola,0,20,5,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ANG,Angola,0,25,7,10,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,ANT,Antigua and Barbuda,0,10,2,11,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,ANT,Antigua and Barbuda,0,14,3,17,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ANT,Antigua and Barbuda,0,15,4,19,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ANT,Antigua and Barbuda,0,13,3,15,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ANT,Antigua and Barbuda,0,13,4,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ANT,Antigua and Barbuda,0,3,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ANT,Antigua and Barbuda,0,5,2,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ANT,Antigua and Barbuda,0,5,2,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ANT,Antigua and Barbuda,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ANT,Antigua and Barbuda,0,8,2,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ANT,Antigua and Barbuda,0,6,4,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ANT,Antigua and Barbuda,0,5,3,5,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ARU,Aruba,0,8,5,10,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ARU,Aruba,0,5,3,4,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ARU,Aruba,0,3,3,3,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ARU,Aruba,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ARU,Aruba,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ARU,Aruba,0,2,2,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ARU,Aruba,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ARU,Aruba,0,7,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ARU,Aruba,0,3,2,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ARU,Aruba,0,6,4,7,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,BAN,Bangladesh,0,1,1,2,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,BAN,Bangladesh,0,6,2,8,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BAN,Bangladesh,0,6,3,6,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BAN,Bangladesh,0,4,3,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BAN,Bangladesh,0,5,3,6,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BAN,Bangladesh,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BAN,Bangladesh,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BAN,Bangladesh,0,5,5,7,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BAN,Bangladesh,0,6,5,7,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BAN,Bangladesh,0,6,4,7,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BAN,Bangladesh,0,5,4,5,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,BIZ,Belize,0,7,4,6,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,BIZ,Belize,0,1,1,2,439.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,BIZ,Belize,0,4,2,4,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,BIZ,Belize,0,11,3,7,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,BIZ,Belize,0,10,2,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BIZ,Belize,0,10,2,10,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BIZ,Belize,0,5,2,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BIZ,Belize,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BIZ,Belize,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BIZ,Belize,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BIZ,Belize,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BIZ,Belize,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BIZ,Belize,0,3,2,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BIZ,Belize,0,1,1,1,738.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,BEN,Benin,0,3,2,3,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,BEN,Benin,0,16,2,17,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,BEN,Benin,0,3,1,3,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,BEN,Benin,0,7,2,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BEN,Benin,0,6,2,6,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BEN,Benin,0,5,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BEN,Benin,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BEN,Benin,0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BEN,Benin,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BEN,Benin,0,5,4,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BEN,Benin,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BEN,Benin,0,7,4,7,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BEN,Benin,0,5,3,5,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,BHU,Bhutan,0,6,1,2,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,BHU,Bhutan,0,3,1,2,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BHU,Bhutan,0,6,1,4,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BHU,Bhutan,0,2,1,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BHU,Bhutan,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BHU,Bhutan,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BHU,Bhutan,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BHU,Bhutan,0,2,2,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BHU,Bhutan,0,2,2,2,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BHU,Bhutan,0,4,4,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BHU,Bhutan,0,3,3,3,738.0,0.0,0.0,0.0,0.0,0.0
1936,Early,BOL,Bolivia,0,2,2,2,302.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,BOL,Bolivia,0,1,1,1,370.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,BOL,Bolivia,0,4,3,3,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,BOL,Bolivia,0,11,3,9,439.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,BOL,Bolivia,0,4,4,5,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,BOL,Bolivia,0,11,6,11,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,BOL,Bolivia,0,7,6,12,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BOL,Bolivia,0,13,6,18,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BOL,Bolivia,0,8,5,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BOL,Bolivia,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BOL,Bolivia,0,7,5,11,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BOL,Bolivia,0,7,5,7,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BOL,Bolivia,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BOL,Bolivia,0,12,5,10,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BOL,Bolivia,0,5,3,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BOL,Bolivia,0,4,2,4,738.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,BIH,Bosnia and Herzegovina,0,10,6,13,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BIH,Bosnia and Herzegovina,0,9,7,12,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BIH,Bosnia and Herzegovina,0,9,4,10,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BIH,Bosnia and Herzegovina,0,9,8,11,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,BIH,Bosnia and Herzegovina,0,5,4,7,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BIH,Bosnia and Herzegovina,0,6,4,8,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BIH,Bosnia and Herzegovina,0,11,5,8,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BIH,Bosnia and Herzegovina,0,7,5,8,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BIH,Bosnia and Herzegovina,0,5,3,6,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,IVB,British Virgin Islands,0,9,2,7,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,IVB,British Virgin Islands,0,3,2,4,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,IVB,British Virgin Islands,0,4,2,2,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,IVB,British Virgin Islands,0,7,2,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,IVB,British Virgin Islands,0,1,1,1,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,IVB,British Virgin Islands,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,IVB,British Virgin Islands,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,IVB,British Virgin Islands,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,IVB,British Virgin Islands,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,IVB,British Virgin Islands,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,IVB,British Virgin Islands,0,4,2,4,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,BRU,Brunei,0,1,1,1,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,BRU,Brunei,0,2,2,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,BRU,Brunei,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,BRU,Brunei,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,BRU,Brunei,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,BRU,Brunei,0,2,2,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,BRU,Brunei,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1956,Formation,CAM,Cambodia,0,2,1,1,342.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,CAM,Cambodia,0,13,3,10,370.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,CAM,Cambodia,0,9,3,14,439.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,CAM,Cambodia,0,5,3,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,CAM,Cambodia,0,4,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,CAM,Cambodia,0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,CAM,Cambodia,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,CAM,Cambodia,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,CAM,Cambodia,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,CAM,Cambodia,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,CAM,Cambodia,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,CAY,Cayman Islands,0,2,1,1,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,CAY,Cayman Islands,0,8,2,7,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,CAY,Cayman Islands,0,8,2,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,CAY,Cayman Islands,0,10,3,7,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,CAY,Cayman Islands,0,9,3,7,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,CAY,Cayman Islands,0,3,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,CAY,Cayman Islands,0,5,2,8,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,CAY,Cayman Islands,0,4,2,6,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,CAY,Cayman Islands,0,4,2,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,CAY,Cayman Islands,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,CAY,Cayman Islands,0,5,3,9,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,CAY,Cayman Islands,0,4,3,5,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,CAF,Central African Republic,0,1,1,1,386.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,CAF,Central African Republic,0,3,2,3,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,CAF,Central African Republic,0,15,3,4,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,CAF,Central African Republic,0,15,3,16,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,CAF,Central African Republic,0,5,1,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,CAF,Central African Republic,0,3,2,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,CAF,Central African Republic,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,CAF,Central African Republic,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,CAF,Central African Republic,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,CAF,Central African Republic,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,CAF,Central African Republic,0,2,2,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,CAF,Central African Republic,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,CHA,Chad,0,2,1,2,370.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,CHA,Chad,0,3,1,3,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,CHA,Chad,0,4,2,4,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,CHA,Chad,0,3,1,3,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,CHA,Chad,0,6,1,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,CHA,Chad,0,6,2,7,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,CHA,Chad,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,CHA,Chad,0,2,1,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,CHA,Chad,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,CHA,Chad,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,CHA,Chad,0,2,2,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,CHA,Chad,0,2,1,2,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,CHA,Chad,0,3,3,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,CHA,Chad,0,3,3,3,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,COM,Comoros,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,COM,Comoros,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,COM,Comoros,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,COM,Comoros,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,COM,Comoros,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,COM,Comoros,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,COM,Comoros,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,COM,Comoros,0,4,3,5,738.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,CGO,Congo (Brazzaville),0,2,1,2,370.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,CGO,Congo (Brazzaville),0,6,1,5,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,CGO,Congo (Brazzaville),0,23,3,8,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,CGO,Congo (Brazzaville),0,9,2,10,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,CGO,Congo (Brazzaville),0,7,1,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,CGO,Congo (Brazzaville),0,7,2,7,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,CGO,Congo (Brazzaville),0,5,3,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,CGO,Congo (Brazzaville),0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,CGO,Congo (Brazzaville),0,5,4,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,CGO,Congo (Brazzaville),0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,CGO,Congo (Brazzaville),0,7,3,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,CGO,Congo (Brazzaville),0,10,5,9,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,CGO,Congo (Brazzaville),0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,CGO,Congo (Brazzaville),0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,COD,Congo (Kinshasa),0,5,1,2,386.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,COD,Congo (Kinshasa),0,8,2,9,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,COD,Congo (Kinshasa),0,15,3,15,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,COD,Congo (Kinshasa),0,17,4,14,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,COD,Congo (Kinshasa),0,14,2,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,COD,Congo (Kinshasa),0,2,1,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,COD,Congo (Kinshasa),0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,COD,Congo (Kinshasa),0,5,4,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,COD,Congo (Kinshasa),0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,COD,Congo (Kinshasa),0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,COD,Congo (Kinshasa),0,7,4,7,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,COD,Congo (Kinshasa),0,6,4,6,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,COK,Cook Islands,0,7,3,8,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,COK,Cook Islands,0,2,2,2,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,COK,Cook Islands,0,3,3,3,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,COK,Cook Islands,0,2,2,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,COK,Cook Islands,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,COK,Cook Islands,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0
