Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals
2012,Maturity,COK,Cook Islands,0,8,5,9,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,COK,Cook Islands,0,9,5,9,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,COK,Cook Islands,0,6,4,9,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,COK,Cook Islands,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0
1932,Early,ESA,El Salvador,0,1,1,1,268.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,ESA,El Salvador,0,60,7,48,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,ESA,El Salvador,0,11,2,12,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,ESA,El Salvador,0,10,5,15,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ESA,El Salvador,0,6,4,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ESA,El Salvador,0,4,3,6,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ESA,El Salvador,0,8,5,10,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ESA,El Salvador,0,8,7,10,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ESA,El Salvador,0,7,6,9,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ESA,El Salvador,0,11,9,14,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ESA,El Salvador,0,10,7,11,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ESA,El Salvador,0,8,6,10,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ESA,El Salvador,0,5,4,7,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ESA,El Salvador,0,8,7,9,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,GEQ,Equatorial Guinea,0,4,1,5,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,GEQ,Equatorial Guinea,0,6,1,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,GEQ,Equatorial Guinea,0,7,1,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,GEQ,Equatorial Guinea,0,5,1,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,GEQ,Equatorial Guinea,0,4,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,GEQ,Equatorial Guinea,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,GEQ,Equatorial Guinea,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,GEQ,Equatorial Guinea,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,GEQ,Equatorial Guinea,0,1,1,1,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,GEQ,Equatorial Guinea,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,GEQ,Equatorial Guinea,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,FSM,Federated States of Micronesia,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,FSM,Federated States of Micronesia,0,5,3,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,FSM,Federated States of Micronesia,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,FSM,Federated States of Micronesia,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,FSM,Federated States of Micronesia,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,FSM,Federated States of Micronesia,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,FSM,Federated States of Micronesia,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,GAM,Gambia,0,10,1,9,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,GAM,Gambia,0,6,2,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,GAM,Gambia,0,5,1,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,GAM,Gambia,0,9,1,6,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,GAM,Gambia,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,GAM,Gambia,0,2,1,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,GAM,Gambia,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,GAM,Gambia,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,GAM,Gambia,0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,GAM,Gambia,0,4,3,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,GAM,Gambia,0,7,4,8,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,GUM,Guam,0,19,7,22,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,GUM,Guam,0,22,8,27,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,GUM,Guam,0,8,4,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,GUM,Guam,0,7,5,7,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,GUM,Guam,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,GUM,Guam,0,6,5,7,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,GUM,Guam,0,8,5,8,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,GUM,Guam,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,GUM,Guam,0,5,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,GUM,Guam,0,7,6,9,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,GUI,Guinea,0,14,1,1,386.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,GUI,Guinea,0,9,3,10,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,GUI,Guinea,0,1,1,1,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,GUI,Guinea,0,6,3,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,GUI,Guinea,0,8,2,11,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,GUI,Guinea,0,5,2,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,GUI,Guinea,0,6,4,6,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,GUI,Guinea,0,3,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,GUI,Guinea,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,GUI,Guinea,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,GUI,Guinea,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,GUI,Guinea,0,5,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,GUI,Guinea,0,25,5,7,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,GBS,Guinea Bissau,0,3,2,3,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,GBS,Guinea Bissau,0,3,2,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,GBS,Guinea Bissau,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,GBS,Guinea Bissau,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,GBS,Guinea Bissau,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,GBS,Guinea Bissau,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,GBS,Guinea Bissau,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,GBS,Guinea Bissau,0,6,5,6,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,HON,Honduras,0,6,1,4,386.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,HON,Honduras,0,3,1,2,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,HON,Honduras,0,10,3,20,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,HON,Honduras,0,8,3,15,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,HON,Honduras,0,10,4,25,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,HON,Honduras,0,7,4,7,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,HON,Honduras,0,20,3,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,HON,Honduras,0,5,4,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,HON,Honduras,0,25,5,8,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,HON,Honduras,0,25,8,10,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,HON,Honduras,0,23,7,8,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,HON,Honduras,0,27,5,7,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,HON,Honduras,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,KIR,Kiribati,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,KIR,Kiribati,0,2,2,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,KIR,Kiribati,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,KIR,Kiribati,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,KIR,Kiribati,0,3,3,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,KIR,Kiribati,0,3,3,3,738.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,LAO,Laos,0,19,3,16,454.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,LAO,Laos,0,3,2,3,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,LAO,Laos,0,6,2,7,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,LAO,Laos,0,5,1,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,LAO,Laos,0,3,2,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,LAO,Laos,0,5,3,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,LAO,Laos,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,LAO,Laos,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,LAO,Laos,0,5,4,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,LAO,Laos,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,LAO,Laos,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,LES,Lesotho,0,1,1,2,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,LES,Lesotho,0,5,1,6,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,LES,Lesotho,0,4,2,4,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,LES,Lesotho,0,6,2,5,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,LES,Lesotho,0,6,1,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,LES,Lesotho,0,9,1,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,LES,Lesotho,0,6,3,6,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,LES,Lesotho,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,LES,Lesotho,0,5,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,LES,Lesotho,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,LES,Lesotho,0,8,3,8,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,LES,Lesotho,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,LES,Lesotho,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1956,Formation,LBR,Liberia,0,4,1,6,342.0,0.0,0.0,0.0,0.0,0.0
1960,Formation,LBR,Liberia,0,4,1,5,340.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,LBR,Liberia,0,1,1,2,370.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,LBR,Liberia,0,5,1,5,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,LBR,Liberia,0,7,1,7,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,LBR,Liberia,0,8,2,10,528.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,LBR,Liberia,0,5,1,3,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,LBR,Liberia,0,8,1,7,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,LBR,Liberia,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,LBR,Liberia,0,3,1,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,LBR,Liberia,0,3,1,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,LBR,Liberia,0,2,1,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,LBR,Liberia,0,3,1,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,LBR,Liberia,0,8,1,5,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,LBA,Libya,0,1,1,1,386.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,LBA,Libya,0,29,5,20,454.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,LBA,Libya,0,6,3,5,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,LBA,Libya,0,5,4,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,LBA,Libya,0,5,2,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,LBA,Libya,0,3,3,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,LBA,Libya,0,8,5,8,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,LBA,Libya,0,6,4,6,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,LBA,Libya,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,LBA,Libya,0,7,6,7,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,LBA,Libya,0,4,4,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,LBA,Libya,0,6,5,6,738.0,0.0,0.0,0.0,0.0,0.0
1936,Early,LIE,Liechtenstein,0,6,3,5,302.0,0.0,0.0,0.0,0.0,0.0
1948,Formation,LIE,Liechtenstein,0,2,1,1,312.0,0.0,0.0,0.0,0.0,0.0
1952,Formation,LIE,Liechtenstein,0,2,1,1,338.0,0.0,0.0,0.0,0.0,0.0
1960,Formation,LIE,Liechtenstein,0,5,3,6,340.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,LIE,Liechtenstein,0,2,1,3,370.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,LIE,Liechtenstein,0,2,1,3,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,LIE,Liechtenstein,0,6,4,11,439.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,LIE,Liechtenstein,0,6,2,9,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,LIE,Liechtenstein,0,7,3,7,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,LIE,Liechtenstein,0,12,5,15,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,LIE,Liechtenstein,0,7,4,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,LIE,Liechtenstein,0,2,2,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,LIE,Liechtenstein,0,2,2,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,LIE,Liechtenstein,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,LIE,Liechtenstein,0,2,2,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,LIE,Liechtenstein,0,3,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,LIE,Liechtenstein,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,LIE,Liechtenstein,0,5,3,8,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,LIE,Liechtenstein,0,1,1,1,738.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,MAD,Madagascar,0,3,1,4,370.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,MAD,Madagascar,0,4,2,6,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,MAD,Madagascar,0,11,2,10,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,MAD,Madagascar,0,11,4,18,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,MAD,Madagascar,0,5,2,5,492.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MAD,Madagascar,0,13,6,15,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MAD,Madagascar,0,11,4,10,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MAD,Madagascar,0,11,4,10,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MAD,Madagascar,0,8,5,8,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MAD,Madagascar,0,6,4,6,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MAD,Madagascar,0,7,5,7,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MAD,Madagascar,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MAD,Madagascar,0,6,4,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MAD,Madagascar,0,7,5,7,738.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,MAW,Malawi,0,16,3,17,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,MAW,Malawi,0,15,3,16,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,MAW,Malawi,0,16,3,16,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MAW,Malawi,0,4,1,4,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MAW,Malawi,0,2,1,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MAW,Malawi,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MAW,Malawi,0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MAW,Malawi,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MAW,Malawi,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MAW,Malawi,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MAW,Malawi,0,5,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MAW,Malawi,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,MDV,Maldives,0,7,1,5,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MDV,Maldives,0,7,2,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MDV,Maldives,0,6,2,6,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MDV,Maldives,0,4,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MDV,Maldives,0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MDV,Maldives,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MDV,Maldives,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MDV,Maldives,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MDV,Maldives,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MDV,Maldives,0,5,4,4,738.0,0.0,0.0,0.0,0.0,0.0
1964,Formation,MLI,Mali,0,2,1,2,370.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,MLI,Mali,0,2,2,2,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,MLI,Mali,0,3,2,3,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,MLI,Mali,0,7,3,7,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,MLI,Mali,0,4,3,5,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,MLI,Mali,0,6,3,8,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MLI,Mali,0,5,2,6,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MLI,Mali,0,3,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MLI,Mali,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MLI,Mali,0,21,4,6,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MLI,Mali,0,17,4,6,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MLI,Mali,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MLI,Mali,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MLI,Mali,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MLI,Mali,0,24,5,6,738.0,0.0,0.0,0.0,0.0,0.0
1928,Early,MLT,Malta,0,9,1,1,252.0,0.0,0.0,0.0,0.0,0.0
1936,Early,MLT,Malta,0,11,2,2,302.0,0.0,0.0,0.0,0.0,0.0
1948,Formation,MLT,Malta,0,1,1,1,312.0,0.0,0.0,0.0,0.0,0.0
1960,Formation,MLT,Malta,0,10,4,6,340.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,MLT,Malta,0,1,1,1,386.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,MLT,Malta,0,5,2,2,439.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,MLT,Malta,0,8,3,5,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,MLT,Malta,0,7,5,6,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,MLT,Malta,0,6,4,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MLT,Malta,0,6,4,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MLT,Malta,0,7,5,10,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MLT,Malta,0,7,5,7,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MLT,Malta,0,7,5,7,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MLT,Malta,0,6,4,6,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MLT,Malta,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MLT,Malta,0,7,4,8,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MLT,Malta,0,6,5,8,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MLT,Malta,0,5,4,5,738.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MHL,Marshall Islands,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MHL,Marshall Islands,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MHL,Marshall Islands,0,5,3,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MHL,Marshall Islands,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,MHL,Marshall Islands,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,MTN,Mauritania,0,2,1,2,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,MTN,Mauritania,0,6,2,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,MTN,Mauritania,0,6,1,6,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,MTN,Mauritania,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,MTN,Mauritania,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,MTN,Mauritania,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,MTN,Mauritania,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,MTN,Mauritania,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,MTN,Mauritania,0,2,1,2,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,MTN,Mauritania,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
