Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals,score,pi,lambda1,prob_break_zero
1988,Formation,ASA,American Samoa,0,6,4,6,528.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
1992,Maturity,ASA,American Samoa,0,3,2,3,573.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1996,Maturity,ASA,American Samoa,0,7,5,6,604.0,0.0,0.0,0.0,0.0,0.0,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2000,Maturity,ASA,American Samoa,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2004,Maturity,ASA,American Samoa,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2008,Maturity,ASA,American Samoa,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2012,Maturity,ASA,American Samoa,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2016,Maturity,ASA,American Samoa,0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2020,Maturity,ASA,American Samoa,0,6,4,5,761.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2024,Maturity,ASA,American Samoa,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
1976,Formation,AND,Andorra,0,3,2,2,444.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1980,Formation,AND,Andorra,0,2,1,1,454.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
1984,Formation,AND,Andorra,0,2,1,1,492.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
1988,Formation,AND,Andorra,0,3,2,3,528.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1992,Maturity,AND,Andorra,0,8,5,5,573.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
1996,Maturity,AND,Andorra,0,8,5,7,604.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
2000,Maturity,AND,Andorra,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2004,Maturity,AND,Andorra,0,6,4,6,669.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2008,Maturity,AND,Andorra,0,5,4,5,673.0,0.0,0.0,0.0,0.0,0.0,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2012,Maturity,AND,Andorra,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2016,Maturity,AND,Andorra,0,4,4,4,682.0,0.0,0.0,0.0,0.0,0.0,3.1049999999999995,0.9570985196432062,5.333992395002528,0.04269449061893609
2020,Maturity,AND,Andorra,0,2,2,3,761.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2024,Maturity,AND,Andorra,0,2,2,4,738.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
1980,Formation,ANG,Angola,0,11,3,14,454.0,0.0,0.0,0.0,0.0,0.0,-0.18190000000000017,0.45464997476006597,5.333992395002528,0.5427188372756426
1988,Formation,ANG,Angola,0,24,4,27,528.0,0.0,0.0,0.0,0.0,0.0,-5.026999999999999,0.006515723368361958,5.333992395002528,0.988690944367216
1992,Maturity,ANG,Angola,0,28,6,21,573.0,0.0,0.0,0.0,0.0,0.0,-5.772,0.003103860290259886,5.333992395002528,0.9920863459936788
1996,Maturity,ANG,Angola,0,28,5,8,604.0,0.0,0.0,0.0,0.0,0.0,-6.2127,0.0019998125758849297,5.333992395002528,0.9931850669327287
2000,Maturity,ANG,Angola,0,30,5,7,667.0,0.0,0.0,0.0,0.0,0.0,-7.0259,0.0008877785977595452,5.333992395002528,0.9942917356036499
2004,Maturity,ANG,Angola,0,30,5,5,669.0,0.0,0.0,0.0,0.0,0.0,-7.0259,0.0008877785977595452,5.333992395002528,0.9942917356036499
2008,Maturity,ANG,Angola,0,32,6,8,673.0,0.0,0.0,0.0,0.0,0.0,-7.3984000000000005,0.0006118569502403371,5.333992395002528,0.9945663259929232
2012,Maturity,ANG,Angola,0,33,6,10,670.0,0.0,0.0,0.0,0.0,0.0,-7.805,0.0004075252726906522,5.333992395002528,0.9947696718173038
2016,Maturity,ANG,Angola,0,26,7,10,682.0,0.0,0.0,0.0,0.0,0.0,-4.5181000000000004,0.010791994705496567,5.333992395002528,0.9844353050520005
2020,Maturity,ANG,Angola,0,20,5,6,761.0,0.0,0.0,0.0,0.0,0.0,-2.9598999999999993,0.04927069018182384,5.333992395002528,0.9461422603975914
2024,Maturity,ANG,Angola,0,25,7,10,738.0,0.0,0.0,0.0,0.0,0.0,-4.111500000000001,0.01611909918938519,5.333992395002528,0.9791339026173533
1976,Formation,ANT,Antigua and Barbuda,0,10,2,11,444.0,0.0,0.0,0.0,0.0,0.0,-0.21599999999999997,0.44620897705079826,5.333992395002528,0.5511191091197755
1984,Formation,ANT,Antigua and Barbuda,0,14,3,17,492.0,0.0,0.0,0.0,0.0,0.0,-1.4017000000000004,0.19754648569075878,5.333992395002528,0.7985818613688661
1988,Formation,ANT,Antigua and Barbuda,0,15,4,19,528.0,0.0,0.0,0.0,0.0,0.0,-1.3676000000000004,0.203007879294961,5.333992395002528,0.7931468177279068
1992,Maturity,ANT,Antigua and Barbuda,0,13,3,15,573.0,0.0,0.0,0.0,0.0,0.0,-0.9951000000000003,0.2699059098945014,5.333992395002528,0.7265715546809505
1996,Maturity,ANT,Antigua and Barbuda,0,13,4,9,604.0,0.0,0.0,0.0,0.0,0.0,-0.5544000000000002,0.3648441791411712,5.333992395002528,0.632091340664557
2000,Maturity,ANT,Antigua and Barbuda,0,3,2,4,667.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2004,Maturity,ANT,Antigua and Barbuda,0,5,2,5,669.0,0.0,0.0,0.0,0.0,0.0,1.817,0.860205761297488,5.333992395002528,0.139119763775717
2008,Maturity,ANT,Antigua and Barbuda,0,5,2,5,673.0,0.0,0.0,0.0,0.0,0.0,1.817,0.860205761297488,5.333992395002528,0.139119763775717
2012,Maturity,ANT,Antigua and Barbuda,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2016,Maturity,ANT,Antigua and Barbuda,0,8,2,5,682.0,0.0,0.0,0.0,0.0,0.0,0.5971999999999997,0.6450154494056656,5.333992395002528,0.3532718320946474
2020,Maturity,ANT,Antigua and Barbuda,0,6,4,6,761.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2024,Maturity,ANT,Antigua and Barbuda,0,5,3,5,738.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
1988,Formation,ARU,Aruba,0,8,5,10,528.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
1992,Maturity,ARU,Aruba,0,5,3,4,573.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
1996,Maturity,ARU,Aruba,0,3,3,3,604.0,0.0,0.0,0.0,0.0,0.0,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
2000,Maturity,ARU,Aruba,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2004,Maturity,ARU,Aruba,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2008,Maturity,ARU,Aruba,0,2,2,2,673.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2012,Maturity,ARU,Aruba,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2016,Maturity,ARU,Aruba,0,7,4,6,682.0,0.0,0.0,0.0,0.0,0.0,1.8851999999999998,0.8682072682536348,5.333992395002528,0.1311568622432886
2020,Maturity,ARU,Aruba,0,3,2,4,761.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2024,Maturity,ARU,Aruba,0,6,4,7,738.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
1984,Formation,BAN,Bangladesh,0,1,1,2,492.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
1988,Formation,BAN,Bangladesh,0,6,2,8,528.0,0.0,0.0,0.0,0.0,0.0,1.4103999999999999,0.8038290264690082,5.333992395002528,0.1952244938746078
1992,Maturity,BAN,Bangladesh,0,6,3,6,573.0,0.0,0.0,0.0,0.0,0.0,1.8510999999999997,0.8642562038660018,5.333992395002528,0.13508886365745187
1996,Maturity,BAN,Bangladesh,0,4,3,4,604.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2000,Maturity,BAN,Bangladesh,0,5,3,6,667.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2004,Maturity,BAN,Bangladesh,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2008,Maturity,BAN,Bangladesh,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2012,Maturity,BAN,Bangladesh,0,5,5,7,670.0,0.0,0.0,0.0,0.0,0.0,3.1391,0.9584770765813265,5.333992395002528,0.04132258489976841
2016,Maturity,BAN,Bangladesh,0,6,5,7,682.0,0.0,0.0,0.0,0.0,0.0,2.7325,0.9389173734549439,5.333992395002528,0.06078791697440571
2020,Maturity,BAN,Bangladesh,0,6,4,7,761.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2024,Maturity,BAN,Bangladesh,0,5,4,5,738.0,0.0,0.0,0.0,0.0,0.0,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
1968,Formation,BIZ,Belize,0,7,4,6,386.0,0.0,0.0,0.0,0.0,0.0,1.8851999999999998,0.8682072682536348,5.333992395002528,0.1311568622432886
1972,Formation,BIZ,Belize,0,1,1,2,439.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
1976,Formation,BIZ,Belize,0,4,2,4,444.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
1984,Formation,BIZ,Belize,0,11,3,7,492.0,0.0,0.0,0.0,0.0,0.0,-0.18190000000000017,0.45464997476006597,5.333992395002528,0.5427188372756426
1988,Formation,BIZ,Belize,0,10,2,7,528.0,0.0,0.0,0.0,0.0,0.0,-0.21599999999999997,0.44620897705079826,5.333992395002528,0.5511191091197755
1992,Maturity,BIZ,Belize,0,10,2,10,573.0,0.0,0.0,0.0,0.0,0.0,-0.21599999999999997,0.44620897705079826,5.333992395002528,0.5511191091197755
1996,Maturity,BIZ,Belize,0,5,2,5,604.0,0.0,0.0,0.0,0.0,0.0,1.817,0.860205761297488,5.333992395002528,0.139119763775717
2000,Maturity,BIZ,Belize,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2004,Maturity,BIZ,Belize,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2008,Maturity,BIZ,Belize,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2012,Maturity,BIZ,Belize,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2016,Maturity,BIZ,Belize,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2020,Maturity,BIZ,Belize,0,3,2,4,761.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2024,Maturity,BIZ,Belize,0,1,1,1,738.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
1972,Formation,BEN,Benin,0,3,2,3,439.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1980,Formation,BEN,Benin,0,16,2,17,454.0,0.0,0.0,0.0,0.0,0.0,-2.6556000000000006,0.06564469425930142,5.333992395002528,0.9298472571094454
1984,Formation,BEN,Benin,0,3,1,3,492.0,0.0,0.0,0.0,0.0,0.0,2.1895,0.899302636772851,5.333992395002528,0.10021152169804554
1988,Formation,BEN,Benin,0,7,2,7,528.0,0.0,0.0,0.0,0.0,0.0,1.0037999999999998,0.7318050476613928,5.333992395002528,0.26690097361298676
1992,Maturity,BEN,Benin,0,6,2,6,573.0,0.0,0.0,0.0,0.0,0.0,1.4103999999999999,0.8038290264690082,5.333992395002528,0.1952244938746078
1996,Maturity,BEN,Benin,0,5,1,4,604.0,0.0,0.0,0.0,0.0,0.0,1.3763,0.7983961066045667,5.333992395002528,0.2006312011550268
2000,Maturity,BEN,Benin,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2004,Maturity,BEN,Benin,0,4,2,4,669.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2008,Maturity,BEN,Benin,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2012,Maturity,BEN,Benin,0,5,4,5,670.0,0.0,0.0,0.0,0.0,0.0,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2016,Maturity,BEN,Benin,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2020,Maturity,BEN,Benin,0,7,4,7,761.0,0.0,0.0,0.0,0.0,0.0,1.8851999999999998,0.8682072682536348,5.333992395002528,0.1311568622432886
2024,Maturity,BEN,Benin,0,5,3,5,738.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
1984,Formation,BHU,Bhutan,0,6,1,2,492.0,0.0,0.0,0.0,0.0,0.0,0.9696999999999999,0.7250596973880862,5.333992395002528,0.27361377912855495
1988,Formation,BHU,Bhutan,0,3,1,2,528.0,0.0,0.0,0.0,0.0,0.0,2.1895,0.899302636772851,5.333992395002528,0.10021152169804554
1992,Maturity,BHU,Bhutan,0,6,1,4,573.0,0.0,0.0,0.0,0.0,0.0,0.9696999999999999,0.7250596973880862,5.333992395002528,0.27361377912855495
1996,Maturity,BHU,Bhutan,0,2,1,2,604.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2000,Maturity,BHU,Bhutan,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2004,Maturity,BHU,Bhutan,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2008,Maturity,BHU,Bhutan,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2012,Maturity,BHU,Bhutan,0,2,2,2,670.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2016,Maturity,BHU,Bhutan,0,2,2,2,682.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2020,Maturity,BHU,Bhutan,0,4,4,4,761.0,0.0,0.0,0.0,0.0,0.0,3.1049999999999995,0.9570985196432062,5.333992395002528,0.04269449061893609
2024,Maturity,BHU,Bhutan,0,3,3,3,738.0,0.0,0.0,0.0,0.0,0.0,3.0709,0.9556763112387718,5.333992395002528,0.04410983719617096
1936,Early,BOL,Bolivia,0,2,2,2,302.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
1964,Formation,BOL,Bolivia,0,1,1,1,370.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
1968,Formation,BOL,Bolivia,0,4,3,3,386.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
1972,Formation,BOL,Bolivia,0,11,3,9,439.0,0.0,0.0,0.0,0.0,0.0,-0.18190000000000017,0.45464997476006597,5.333992395002528,0.5427188372756426
1976,Formation,BOL,Bolivia,0,4,4,5,444.0,0.0,0.0,0.0,0.0,0.0,3.1049999999999995,0.9570985196432062,5.333992395002528,0.04269449061893609
1984,Formation,BOL,Bolivia,0,11,6,11,492.0,0.0,0.0,0.0,0.0,0.0,1.1401999999999997,0.7577163573519968,5.333992395002528,0.24111468000937555
1988,Formation,BOL,Bolivia,0,7,6,12,528.0,0.0,0.0,0.0,0.0,0.0,2.7665999999999995,0.9408440377098902,5.333992395002528,0.05887054842967154
1992,Maturity,BOL,Bolivia,0,13,6,18,573.0,0.0,0.0,0.0,0.0,0.0,0.3269999999999995,0.5810292520929008,5.333992395002528,0.41694931077816844
1996,Maturity,BOL,Bolivia,0,8,5,9,604.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
2000,Maturity,BOL,Bolivia,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2004,Maturity,BOL,Bolivia,0,7,5,11,669.0,0.0,0.0,0.0,0.0,0.0,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2008,Maturity,BOL,Bolivia,0,7,5,7,673.0,0.0,0.0,0.0,0.0,0.0,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2012,Maturity,BOL,Bolivia,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2016,Maturity,BOL,Bolivia,0,12,5,10,682.0,0.0,0.0,0.0,0.0,0.0,0.29289999999999994,0.5727059522465854,5.333992395002528,0.4252324526243642
2020,Maturity,BOL,Bolivia,0,5,3,5,761.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2024,Maturity,BOL,Bolivia,0,4,2,4,738.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
1992,Maturity,BIH,Bosnia and Herzegovina,0,10,6,13,573.0,0.0,0.0,0.0,0.0,0.0,1.5467999999999997,0.8244510717780579,5.333992395002528,0.174701945173067
1996,Maturity,BIH,Bosnia and Herzegovina,0,9,7,12,604.0,0.0,0.0,0.0,0.0,0.0,2.3940999999999995,0.916376291153833,5.333992395002528,0.08322024375757799
2000,Maturity,BIH,Bosnia and Herzegovina,0,9,4,10,667.0,0.0,0.0,0.0,0.0,0.0,1.0719999999999996,0.7449770744270497,5.333992395002528,0.2537924988353871
2004,Maturity,BIH,Bosnia and Herzegovina,0,9,8,11,669.0,0.0,0.0,0.0,0.0,0.0,2.8347999999999995,0.9445276362279611,5.333992395002528,0.05520472242400088
2008,Maturity,BIH,Bosnia and Herzegovina,0,5,4,7,673.0,0.0,0.0,0.0,0.0,0.0,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2012,Maturity,BIH,Bosnia and Herzegovina,0,6,4,8,670.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2016,Maturity,BIH,Bosnia and Herzegovina,0,11,5,8,682.0,0.0,0.0,0.0,0.0,0.0,0.6995,0.668076906410697,5.333992395002528,0.3303216412953597
2020,Maturity,BIH,Bosnia and Herzegovina,0,7,5,8,761.0,0.0,0.0,0.0,0.0,0.0,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2024,Maturity,BIH,Bosnia and Herzegovina,0,5,3,6,738.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
1984,Formation,IVB,British Virgin Islands,0,9,2,7,492.0,0.0,0.0,0.0,0.0,0.0,0.19059999999999966,0.5475062682684024,5.333992395002528,0.45031055394532044
1988,Formation,IVB,British Virgin Islands,0,3,2,4,528.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1992,Maturity,IVB,British Virgin Islands,0,4,2,2,573.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
1996,Maturity,IVB,British Virgin Islands,0,7,2,5,604.0,0.0,0.0,0.0,0.0,0.0,1.0037999999999998,0.7318050476613928,5.333992395002528,0.26690097361298676
2000,Maturity,IVB,British Virgin Islands,0,1,1,1,667.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2004,Maturity,IVB,British Virgin Islands,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2008,Maturity,IVB,British Virgin Islands,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2012,Maturity,IVB,British Virgin Islands,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
2016,Maturity,IVB,British Virgin Islands,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
2020,Maturity,IVB,British Virgin Islands,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2024,Maturity,IVB,British Virgin Islands,0,4,2,4,738.0,0.0,0.0,0.0,0.0,0.0,2.2236,0.9023488708878078,5.333992395002528,0.09717998495939524
1996,Maturity,BRU,Brunei,0,1,1,1,604.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
2000,Maturity,BRU,Brunei,0,2,2,2,667.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2004,Maturity,BRU,Brunei,0,1,1,1,669.0,0.0,0.0,0.0,0.0,0.0,3.0027,0.9526959548619061,5.333992395002528,0.04707581404160707
